,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation,min_unfairness_vals
281,0,1.4000000000000001,Test,0.42399999499320984,0.16014423966407776,5268.0830078125,-5672.3486328125,0.0
279,0,1.3900000000000001,Test,0.42399999499320984,0.159711092710495,5129.71630859375,-5534.2421875,0.0
277,0,1.3800000000000001,Test,0.42899999022483826,0.15377651154994965,4991.77783203125,-5396.2900390625,0.0
275,0,1.37,Test,0.4300000071525574,0.15172265470027924,4711.345703125,-5118.064453125,0.0
273,0,1.36,Test,0.4300000071525574,0.15172263979911804,4710.60693359375,-5117.431640625,0.0
271,0,1.35,Test,0.4309999942779541,0.14966967701911926,4570.20458984375,-4977.43701171875,0.0
269,0,1.34,Test,0.4309999942779541,0.15364372730255127,4431.01416015625,-4838.8984375,0.0
267,0,1.33,Test,0.43299999833106995,0.15335968136787415,4293.71044921875,-4701.25341796875,0.0
265,0,1.32,Test,0.4350000023841858,0.1504107117652893,4157.23779296875,-4564.16650390625,0.0
263,0,1.31,Test,0.4350000023841858,0.14904312789440155,4020.924072265625,-4427.07763671875,0.0
261,0,1.3,Test,0.4390000104904175,0.14883658289909363,3884.62353515625,-4289.96630859375,0.0
259,0,1.29,Test,0.4390000104904175,0.14461761713027954,3748.213134765625,-4152.73876953125,0.0
257,0,1.28,Test,0.4429999887943268,0.1358470320701599,3607.0,-4010.96533203125,0.0
255,0,1.27,Test,0.44699999690055847,0.13568682968616486,3470.34912109375,-3872.991455078125,0.0
253,0,1.26,Test,0.45500001311302185,0.12347155064344406,3332.982421875,-3734.16650390625,0.0
251,0,1.25,Test,0.4659999907016754,0.12008457630872726,3197.423095703125,-3596.032958984375,0.0
249,0,1.24,Test,0.47200000286102295,0.11254911124706268,3064.345703125,-3459.778076171875,0.0
247,0,1.23,Test,0.4779999852180481,0.1190531849861145,2931.5419921875,-3323.42333984375,0.0
245,0,1.22,Test,0.48500001430511475,0.0962294340133667,2795.54296875,-3182.27587890625,0.0
243,0,1.21,Test,0.49799999594688416,0.08118685334920883,2665.404541015625,-3046.5166015625,0.0
241,0,1.2,Test,0.5080000162124634,0.04931098222732544,2535.813232421875,-2909.283203125,0.0
239,0,1.19,Test,0.5189999938011169,0.028574150055646896,2407.281982421875,-2770.277099609375,0.0
237,0,1.18,Test,0.5329999923706055,0.008293533697724342,2280.3505859375,-2631.5791015625,0.0
235,0,1.17,Test,0.5360000133514404,0.0020533879287540913,2154.761962890625,-2492.49755859375,0.0
203,0,1.01,Test,0.5370000004768372,0.0,1246.1507568359375,-1452.258056640625,0.0
205,0,1.02,Test,0.5370000004768372,0.0,1283.5225830078125,-1496.3475341796875,0.0
207,0,1.03,Test,0.5370000004768372,0.0,1320.9178466796875,-1540.460693359375,0.0
209,0,1.04,Test,0.5370000004768372,0.0,1358.342529296875,-1584.6046142578125,0.0
211,0,1.05,Test,0.5370000004768372,0.0,1395.8057861328125,-1628.7900390625,0.0
213,0,1.06,Test,0.5370000004768372,0.0,1433.315673828125,-1673.0240478515625,0.0
215,0,1.07,Test,0.5370000004768372,0.0,1470.8907470703125,-1717.3270263671875,0.0
219,0,1.09,Test,0.5370000004768372,0.0,1546.3538818359375,-1806.2630615234375,0.0
221,0,1.1,Test,0.5370000004768372,0.0,1584.3704833984375,-1851.03173828125,0.0
223,0,1.11,Test,0.5370000004768372,0.0,1622.7880859375,-1896.2261962890625,0.0
225,0,1.12,Test,0.5370000004768372,0.0,1662.148193359375,-1942.4228515625,0.0
227,0,1.1300000000000001,Test,0.5370000004768372,0.0,1705.2645263671875,-1992.62548828125,0.0
201,0,1.0,Test,0.5370000004768372,0.0,1208.798583984375,-1408.1915283203125,0.0
