,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation
495,2,0.98,Test,0.4966847598552704,-0.4964819848537445,30677.31640625,-96580.4140625
496,3,0.98,Train,0.5010392069816589,-0.4728805422782898,32972.03125,-100225.34375
497,3,0.98,Test,0.5026119947433472,-0.4818728566169739,33085.30078125,-100620.7109375
498,4,0.98,Train,0.5099960565567017,-0.48135906457901,64324.26953125,-197991.234375
499,4,0.98,Test,0.4985935389995575,-0.45279452204704285,66645.5078125,-196020.6875
500,0,1.0,Train,0.5045526623725891,-0.4673812985420227,126818.53125,-389033.21875
501,0,1.0,Test,0.508941113948822,-0.4853222668170929,130035.4609375,-391220.53125
502,1,1.0,Train,0.5025237798690796,-0.4795379638671875,33664.21484375,-102020.6953125
503,1,1.0,Test,0.4949769079685211,-0.4762799143791199,33561.3203125,-100538.6640625
504,2,1.0,Train,0.4977731704711914,-0.47524335980415344,34054.0234375,-102264.9296875
505,2,1.0,Test,0.4939722716808319,-0.4976928234100342,32932.13671875,-103079.15625
506,3,1.0,Train,0.49990102648735046,-0.4743794798851013,34134.203125,-103456.7109375
507,3,1.0,Test,0.5016074180603027,-0.4831223785877228,34251.44921875,-103870.2734375
508,4,1.0,Train,0.5071259140968323,-0.4834210276603699,68937.484375,-211046.390625
509,4,1.0,Test,0.4952782690525055,-0.45661306381225586,71433.796875,-208932.96875
510,0,1.02,Train,0.5003464221954346,-0.47064265608787537,140763.875,-427871.78125
511,0,1.02,Test,0.5057263374328613,-0.48766911029815674,144248.640625,-430272.875
512,1,1.02,Train,0.49960410594940186,-0.4838089346885681,36017.34375,-108586.0546875
513,1,1.02,Test,0.49226441979408264,-0.4797413647174835,35911.28125,-106985.609375
514,2,1.02,Train,0.4963875710964203,-0.4752520024776459,35225.34765625,-105481.6484375
515,2,1.02,Test,0.4935704171657562,-0.49769389629364014,34063.328125,-106332.7578125
516,3,1.02,Train,0.4999505281448364,-0.4743063449859619,34134.25,-103456.75
517,3,1.02,Test,0.5016074180603027,-0.4831223785877228,34251.48828125,-103870.3359375
518,4,1.02,Train,0.5060867071151733,-0.4832518696784973,71254.4296875,-217584.03125
519,4,1.02,Test,0.49326902627944946,-0.45572733879089355,73837.5625,-215400.484375
520,0,1.04,Train,0.5003464221954346,-0.47064265608787537,140763.875,-427871.78125
